playlist_position,curriculum_order,module,module_name,priority,guest,organisation,part,canonical_episode,published,minutes,domains,core_mental_model,transferable_lesson,prerequisites,redundancy_overlap,in_top_10,in_top_25,video_id,url,youtube_title
11,57,M7,Organisation,B,Ankit Nagori,Curefoods,2,S3E12,2026-03-30,63,Product; Organisation; India,Indians only eat healthy Monday to Thursday - stated vs revealed preference,A crisp consumer-insight lesson (healthy food loses to biryani on Friday) attached to a house-of-brands ambition.,Watch Part 1 first,Revealed-preference lesson is stated better by Lalit Keshre (M3); house of brands overlaps Jaydeep Barman (M4),,,wO-qKrMDJoM,https://www.youtube.com/watch?v=wO-qKrMDJoM,"Part 2: Curefoods' Ankit Nagori on why Indians only eat healthy Monday to Thursday, focusing on b..."
12,56,M7,Organisation,B,Ankit Nagori,Curefoods,1,S3E12,2026-03-23,54,Organisation; Entrepreneurship,Talent density - and whether you can deliberately design for it,"Cold-emailing into Flipkart as employee 22, then spinning out Curefoods mid-pandemic at Rs 2 crore/month. The talent-density question is the transferable part.",None,Talent density overlaps Mukesh Bansal P2 (M10) and Anand Jain P2 (M1),,,Co9pu95CzLg,https://www.youtube.com/watch?v=Co9pu95CzLg,"Part 1: Curefoods' Ankit Nagori on cold emailing his way into Flipkart, designing for talent dens..."
13,12,M2,Entrepreneurship,B,Utham Gowda,Captain Fresh,2,S3E11,2026-03-02,58,Entrepreneurship; Personal OS,Deliberate downside: taking salary cuts at every job change to buy optionality,Career capital compounding over cash compensation - the inverse of Manav Garg's golden handcuffs.,Watch Part 1 first,Personal-battery questions overlap every other Part 2; direct counterpart to Manav Garg P1,,,oVLnHQiTibM,https://www.youtube.com/watch?v=oVLnHQiTibM,Part 2: Captain Fresh's Utham Gowda on seafood as the world's last unorganised trillion-dollar i...
14,11,M2,Entrepreneurship,A,Utham Gowda,Captain Fresh,1,S3E11,2026-02-23,66,Entrepreneurship; Strategy; India,Opportunity selection: find a large unorganised market where organising IS the value,"How to choose what to work on. A vegetarian from landlocked Mysore built a global seafood business because the opportunity was picked analytically, not from personal affinity.",None,Market-selection logic overlaps Kapil Chopra (M4) and Deepak Abbot (M9),,yes,a1MjMsiHeM8,https://www.youtube.com/watch?v=a1MjMsiHeM8,Part 1: Captain Fresh's Utham Gowda on seafood as the world's last unorganised trillion-dollar i...
15,52,M7,Organisation,A,Kalpana Morparia,ICICI / JPMorgan India,2,S3E10,2026-02-09,57,Leadership; Career; Personal OS,Ambition requires something you have to be willing to give up,"Candid on regret and on what she wishes she had done differently, plus the 90-day NYSE listing race. Strong back-half by the standards of the series.",Watch Part 1 first,"Personal battery, but unusually substantive",,,2duMgXJLY7g,https://www.youtube.com/watch?v=2duMgXJLY7g,"Part 2: Kalpana Morparia on the culture of dissent, the 90-day NYSE race, and why ambition requir..."
16,51,M7,Organisation,S,Kalpana Morparia,ICICI / JPMorgan India,1,S3E10,2026-02-02,60,Organisation; Leadership; Career,Institutionalised dissent - the junior-most person can contradict the chairman,"A fifty-year vantage on how a culture of dissent is actually maintained, and on saying yes to a role you are unqualified for (a lawyer asked to run Treasury in 1975). Rare in a playlist dominated by founders.",None,"Culture theme overlaps Alok Mittal P1 (M8) - Morparia on dissent, Mittal on discovery",,yes,D4pAptnsalQ,https://www.youtube.com/watch?v=D4pAptnsalQ,"Part 1: Kalpana Morparia on the culture of dissent, the 90-day NYSE race, and why ambition requir..."
17,62,M8,Leadership,B,Rohit Chennamaneni,Darwinbox,2,S3E9,2026-01-19,62,Leadership; Product,When intelligence stops being the advantage,"On staying with uncomfortable problems rather than out-thinking them. NOTE: the publisher reused an almost identical blurb for both parts, so the split of content between them is not verifiable from metadata.",Watch Part 1 first,"Description is near-identical to Part 1 - expect overlap, verify by watching",,,VwPNzUVaKtg,https://www.youtube.com/watch?v=VwPNzUVaKtg,"Part 2: Darwinbox’s Rohit Chennamaneni on leading without a CEO, the ‘show don’t tell’ product mi..."
18,61,M8,Leadership,A,Rohit Chennamaneni,Darwinbox,1,S3E9,2026-01-12,50,Leadership; Organisation; Product,"Divide ownership of decisions, not decision-making - running with no CEO","Three founders split decision rights rather than debating everything jointly, which got faster as the company scaled. Also 'show don't tell' product design: software that needs no training, where adoption beats feature depth.",None,No-CEO structure overlaps MN Srinivasu (M7); product-led founder overlaps Girish Mathrubootham (M7),,,pO3lzh1MPgI,https://www.youtube.com/watch?v=pO3lzh1MPgI,"Part 1: Darwinbox’s Rohit Chennamaneni on leading without a CEO, the ‘show don’t tell’ product mi..."
19,73,APX,Appendix - supercuts & specials,C,The 2025 wrap,-,-,,2025-12-29,99,Specials,Guided tour of the eight Season 3 conversations of 2025,Useful only as a 90-minute triage device if you want to sample before committing. Every clip comes from an episode already in this curriculum.,None,Fully redundant with the S3 2025 episodes (Vidit Aatrey through Ixigo) if you follow the curriculum,,,1rhYYn8PGYU,https://www.youtube.com/watch?v=1rhYYn8PGYU,"First Principles, second look: The 2025 wrap"
20,67,M9,India,A,Aloke Bajpai,Ixigo,2,S3E8,2025-12-22,69,India; Leadership; Personal OS,Empathy and resilience as survival mechanisms across 14 years,"On surviving a year without funding and the long arc to becoming a full OTA. Good, but Part 1 holds the transferable core.",Watch Part 1 first,Partially repeats Part 1's narrative,,,pHIUUJ2_wRY,https://www.youtube.com/watch?v=pHIUUJ2_wRY,"Part 2: Ixigo's Aloke Bajpai on using empathy, customer experience, and resilience to both surviv..."
21,66,M9,India,S,Aloke Bajpai,Ixigo,1,S3E8,2025-12-15,62,India; Product; Strategy; Distribution,"Serve the 96% - build utility first, monetise later","96% of Indians do not fly, so Ixigo went trains-first and spent four years building unmonetised utility (including ML waitlist-confirmation prediction) while everyone else copied the Western flights-first template. A masterclass in market selection under Indian constraints.",None,Delayed monetisation overlaps Lalit Keshre (M3); India-specific product constraints overlap Bisu P1 (M6),,yes,O2TACa4xVik,https://www.youtube.com/watch?v=O2TACa4xVik,"Part 1: Ixigo's Aloke Bajpai on using empathy, customer experience, and resilience to both surviv..."
22,69,M9,India,B,Deepak Abbot,Indiagold,2,S3E7,2025-11-17,56,India; Product; Personal OS,Building with your own hands after a corporate career,"On leaving Paytm to build again, and the data-driven habit underneath it. Contextual.",Watch Part 1 first,Personal battery overlaps every other Part 2,,,qZNKt0dQhyw,https://www.youtube.com/watch?v=qZNKt0dQhyw,Part 2: Indiagold's Deepak Abbot on turning a nation's 'dead asset' into credit scores and workin...
23,68,M9,India,A,Deepak Abbot,Indiagold,1,S3E7,2025-11-10,66,India; Business models; Product,Turn a dead asset into working capital - latent collateral,India's household gold is a vast dormant balance sheet; converting it into credit scores and credit is an India-specific moat VCs dismissed as 'old economy'. A repeatable pattern: find the asset your market already holds but cannot use.,None,Informal-credit theme overlaps Alok Mittal P1 (M8); unlocking-dormant-assets overlaps Ritesh Agarwal P1 (M4),,,tW5GdGEFy-4,https://www.youtube.com/watch?v=tW5GdGEFy-4,Part 1: Indiagold's Deepak Abbot on turning a nation's 'dead asset' into credit scores and workin...
24,49,M7,Organisation,A,Rahul Matthan,Trilegal,2,S3E6,2025-09-22,63,Organisation; Leadership; Personal OS,"Institution building as patient, principled repetition","Continues the partnership and principles discussion. Strong, but Part 1 carries the transferable core.",Watch Part 1 first,Partial repetition of Part 1's partnership material,,,sw92Bqj8S8Y,https://www.youtube.com/watch?v=sw92Bqj8S8Y,"Rahul Matthan, Trilegal | Part 2 | First Principles | Rohin Dharmakumar | The Ken"
25,48,M7,Organisation,S,Rahul Matthan,Trilegal,1,S3E6,2025-09-15,69,Organisation; Leadership; Incentives,"Lockstep compensation and all-equity partnership - design so the firm compounds, not the individual","The single best incentive-design episode in the series. In a business where the people are the product, Trilegal deliberately de-risked itself from rainmakers and chose collaboration over stardom - and the decisions made 25 years ago are what compounded.",None,"Incentive design overlaps Soumya Rajan P1 (M4), but Matthan is internal and Rajan external - watch both",yes,yes,CyMzM7636ro,https://www.youtube.com/watch?v=CyMzM7636ro,"Rahul Matthan, Trilegal | Part 1 | First Principles | Rohin Dharmakumar | The Ken"
26,9,M1,Thinking / First Principles,A,Anand Jain,CleverTap,2,S3E-,2025-08-18,71,Thinking; Organisation,"First principles as an operating philosophy, not a slogan","How a company actually installs first-principles reasoning: open-ended interview questions, the risk of hiring only from within, why the second hire in a role is more valuable than the first.",Watch Part 1 first,"Hiring content overlaps Krish Subramanian (M7), Ankit Nagori (M7), Kanwal Singh P2 (M6)",,,CIwfoIRK6Ig,https://www.youtube.com/watch?v=CIwfoIRK6Ig,"Anand Jain, Clevertap | Part 2 | First Principles | Rohin Dharmakumar | The Ken"
27,8,M1,Thinking / First Principles,B,Anand Jain,CleverTap,1,S3E-,2025-08-11,65,Thinking; Entrepreneurship,Reasoning down to the primitive (literally: 'what is a database'),Reducing a product category to its irreducible technical primitive before building on top of it. Also a clean case of a bootstrapped-to-inbound-funding path.,None,Company-history portion overlaps little; the reasoning content is concentrated in Part 2,,,8b1B_c-X1YY,https://www.youtube.com/watch?v=8b1B_c-X1YY,"Anand Jain, Clevertap | Part 1 | First Principles | Rohin Dharmakumar | The Ken"
28,24,M3,Product,B,Narayan Subramaniam,Ultraviolette,2,S3E8,2025-07-28,62,Product; Personal OS,Discarding options as the core design act,"Good chapter-level material on clarity and option elimination, wrapped in a long personal battery.",Watch Part 1 first,Personal battery overlaps every other Part 2,,,psuAVPKlKOU,https://www.youtube.com/watch?v=psuAVPKlKOU,"Narayan Subramaniam, Ultraviolette | Part 2 | First Principles | Rohin Dharmakumar | The Ken"
29,23,M3,Product,B,Narayan Subramaniam,Ultraviolette,1,S3E7,2025-07-21,76,Product; Entrepreneurship,'Nobody's asking for this' - design-led conviction,"Building against stated demand when you believe the category is mispriced. Strong on craft, attention to detail and learning by tinkering.",None,Design-conviction theme overlaps Chetan Maini (M2),,,XMlMMcBMDoE,https://www.youtube.com/watch?v=XMlMMcBMDoE,"Narayan Subramaniam, Ultraviolette | Part 1 | First Principles | Rohin Dharmakumar | The Ken"
30,,UNAVAILABLE,Unavailable,N/A,UNAVAILABLE,-,-,,,0,-,-,Video at playlist position 30 is private or removed - no metadata retrievable.,-,-,,,vHwCo0RIX44,https://www.youtube.com/watch?v=vHwCo0RIX44,youtube video #vHwCo0RIX44
31,65,M9,India,S,Manish Sabharwal,TeamLease,2,S3E6,2025-07-01,45,India; Thinking; Long-term thinking,'Is 2% of a large market a bad market?' - and why countries actually got rich,"The definitive India module: reform agenda, the crisis in higher education, the Hindu rate of growth, inequality and the welfare state, and a firm rejection of cultural explanations for development. Dense, opinionated, and the highest-leverage macro hour in the playlist.",Watch Part 1 first,Macro framing subsumes the India commentary scattered across most other episodes,yes,yes,Wuk9bq9xfys,https://www.youtube.com/watch?v=Wuk9bq9xfys,"Manish Sabharwal, Teamlease | Part 2 | First Principles | Rohin Dharmakumar | The Ken"
32,64,M9,India,A,Manish Sabharwal,TeamLease,1,S3E5,2025-06-24,65,India; Business economics; Organisation,Formalisation as the engine of Indian productivity,Labour formalisation from the inside of the company that does it at scale. The company-level ground for the macro argument in Part 2.,Ideally after M4-M7 so the macro lands on concrete cases,"Formalisation thesis shares ground with Archit Gupta (M4), who is the software instance of it",,,k24M9K_Eqwk,https://www.youtube.com/watch?v=k24M9K_Eqwk,"Manish Sabharwal, Teamlease | Part 1 | First Principles | Rohin Dharmakumar | The Ken"
33,5,M1,Thinking / First Principles,S,Sahil Barua,Delhivery,2,S3E4,2025-05-19,66,Thinking; Organisation; Leadership,'Structure is destiny' - org structure determines which outcomes are reachable,Re-ask 'is my structure still valid?' on a schedule. Also the best treatment in the series of preparation over improvisation: unstructured mentoring and unprepared discussion are worse than none.,Watch Part 1 first (same conversation),"Org-design theme recurs in Rahul Matthan (M7) and MN Srinivasu (M7), from different angles - low redundancy",yes,yes,0oNVTVta7II,https://www.youtube.com/watch?v=0oNVTVta7II,"Sahil Barua, Delhivery | Part 2 | First Principles | Rohin Dharmakumar | The Ken"
34,4,M1,Thinking / First Principles,S,Sahil Barua,Delhivery,1,S3E3,2025-05-12,73,Thinking; Strategy; Distribution; India,"Meshed networks beat hub-and-spoke: design the network, not the route","Derive the system from physical constraints (geography, density, topography) rather than copying an incumbent's blueprint. 'Reverse Robin Hood' - who actually subsidises whom in your network - is a question every multi-sided business should be able to answer.",None - this is the recommended entry point,"Logistics/supply-chain overlap with Saahil Goel (M5), Karthik Jayaraman (M5), Vaibhav Gupta (M1)",,yes,_RrRm8ipDF4,https://www.youtube.com/watch?v=_RrRm8ipDF4,"Sahil Barua, Delhivery | Part 1 | First Principles | Rohin Dharmakumar | The Ken"
35,20,M3,Product,B,Vidit Aatrey,Meesho,2,S3E2,2025-04-21,40,Organisation; Personal OS,Looking beyond the horizon for ambiguous questions,"Short (40 min) back-half on upbringing, hiring and parenting. Pleasant, but low density relative to Part 1.",Watch Part 1 first,Personal battery overlaps every other Part 2,,,9xC-hLpJlQE,https://www.youtube.com/watch?v=9xC-hLpJlQE,"Vidit Aatrey, Meesho | Part 2 | First Principles | Rohin Dharmakumar | The Ken"
36,19,M3,Product,S,Vidit Aatrey,Meesho,1,S3E1,2025-04-14,92,Product; Thinking; Organisation,"Problem-first thinking installed as a cultural artifact, not a personal habit","The difference between a founder who thinks problem-first and a company that does. Meesho's pivots track changes in the customer, not in the market narrative.",None,Direct complement to Vaibhav Gupta P2 (M1) on refusing pattern-matching,yes,yes,p6-HHHtQ7OM,https://www.youtube.com/watch?v=p6-HHHtQ7OM,"Vidit Aatrey, Meesho | Part 1 | First Principles | Rohin Dharmakumar | The Ken"
37,74,APX,Appendix - supercuts & specials,C,"The Final Supercut, Part 2 (founders 21-41)",-,-,,2024-07-11,89,Specials,One slice each from founders 21-41,"Every one of these 21 founders has a full episode on this playlist, so the marginal learning is near zero once you have the matrix.",None,Directly redundant with 21 full episodes already in M2-M9,,,1Zp1fZZCzX8,https://www.youtube.com/watch?v=1Zp1fZZCzX8,The Final Supercut Part 2: Founders 20-41
38,1,M0,Orientation (optional),A,"The Final Supercut, Part 1 (founders 1-20)",-,-,,2024-07-04,85,Specials,One slice each from founders 1-20,"HIGH VALUE FOR AN UNUSUAL REASON: 18 of these 20 founders have no full episode on this playlist - Kabeer Biswas (Dunzo), Baskar Subramanian (Amagi), Nithin Kamath (Zerodha), Naveen Tewari (InMobi), Ananth Narayanan (Mensa), Harshil Mathur (Razorpay), Vineeta Singh (SUGAR), Amrish Rau (Pine Labs), Amit Agarwal (NoBroker), Tarun Mehta (Ather), Deep Kalra (MakeMyTrip), Ruchi Kalra (Oxyzo), Kamal Sagar (Total Environment), Srikanth Iyer (HomeLane), Shan Kadavil (FreshToHome), Kunal Shah (CRED), Srikanth Velamakanni (Fractal), Ronnie Screwvala (UpGrad). This is your only access to them here.",None,"Only ~2 of 20 (Gaurav Munjal, Smita Deorah) overlap full episodes on the playlist",,,PK0UL6GgusE,https://www.youtube.com/watch?v=PK0UL6GgusE,The Final Supercut Part 1: Founders 1-20
39,79,APX,Appendix - supercuts & specials,D,Last Principles (show sign-off),-,-,,2024-06-20,7,Specials,Show announcement,Announces the end of the original run. No learning content.,None,No overlap - and no content,,,fVVIwYc4QLE,https://www.youtube.com/watch?v=fVVIwYc4QLE,Last Principles
40,75,APX,Appendix - supercuts & specials,B,Five women founders,-,-,,2024-06-13,84,Specials,"Leading with empathy and ambition, unapologetically","Worth it for the perspective, which the playlist otherwise under-represents; the individual conversations are stronger where they exist.",None,"Partially redundant with Smita Deorah, Radhika Gupta, Soumya Rajan, Ruchi Kalra, Vineeta Singh",,,6uG8esCNhy4,https://www.youtube.com/watch?v=6uG8esCNhy4,Five Women Founders | Rohin Dharmakumar | First Principles by The Ken
41,14,M2,Entrepreneurship,C,Manav Garg,Eka Software / Together Fund,2,S2E29,2024-06-06,67,Entrepreneurship; Business economics,Facilitators vs builders - what a VC actually is,Mostly a career-transition narrative. Useful if you are weighing an operator-to-investor move; otherwise low marginal learning.,Watch Part 1 first; Alok Mittal P1 (M8) covers the same operator/VC tension better,Heavy overlap with Alok Mittal on the operator-vs-VC question,,,-_3WxE-QOP8,https://www.youtube.com/watch?v=-_3WxE-QOP8,"Manav Garg, Eka Software | Part 2 | Rohin Dharmakumar"
42,59,M8,Leadership,S,Alok Mittal,Indifi,2,S2E28,2024-05-30,51,Leadership; Organisation; Succession,Design for a post-founder future - against founder worship,"'There are great organizations built where founders did not believe in founder-centricity, and they sustain after the founder leaves.' The thesis statement for institution building, and the most counter-consensus leadership argument in the playlist.",Watch Part 1 first,"Watch with Varun Dua (succession in practice) and MN Srinivasu (M7, the extreme structural case)",yes,yes,1bqqnVjUcbI,https://www.youtube.com/watch?v=1bqqnVjUcbI,"Alok Mittal, Indifi | Part 2 | Rohin Dharmakumar | First Principles by The Ken"
43,13,M2,Entrepreneurship,A,Manav Garg,Eka Software,1,S2E27,2024-05-23,63,Entrepreneurship; Distribution,Golden handcuffs - high income as a risk-aversion trap,"Two transferable moves: recognising when your salary has become the thing stopping you, and cold-calling the incumbents (SAP, Openlink, TriplePoint) to learn the market before building.",None,Enterprise-sales content overlaps Aneesh Reddy (M2) and Krish Subramanian (M7),,,LAH5xurKF9U,https://www.youtube.com/watch?v=LAH5xurKF9U,"Manav Garg, Eka Software | Rohin Dharmakumar | First Principles"
44,29,M4,Strategy,A,Kapil Chopra,The Postcard Hotels,-,,2024-05-22,110,Strategy; India; Business economics,The differentiation ladder: commodity -> product -> luxury -> transformational,A reusable positioning ladder plus a market-reframing move: stop fighting over 1M luxury foreign tourists and convert 1% of 2.3B domestic trips instead. Excellent on how to resize a market you were told was small.,None,TAM-reframing overlaps Utham Gowda P1 (M2); premium-India thesis overlaps Kanwal Singh P1 (M6),,,JwhNVGl6BhM,https://www.youtube.com/watch?v=JwhNVGl6BhM,"Kapil Chopra, Postcard Hotels | Rohin Dharmakumar | First Principles"
45,31,M4,Strategy,B,Jaydeep Barman,Rebel Foods,2,S2E25,2024-05-22,48,Strategy; Leadership,"House of brands, LVMH-style, applied to food",Useful on the portfolio logic; the rest is founder maturation ('I must have rubbed people the wrong way').,Watch Part 1 first,Founder-maturation arc overlaps Aneesh Reddy P2 (M2),,,7mvYfAGiReA,https://www.youtube.com/watch?v=7mvYfAGiReA,"Jaydeep Barman, Rebel Foods | Part 2 | Rohin Dharmakumar | First Principles by The Ken"
46,58,M8,Leadership,A,Alok Mittal,Indifi,1,S2E24,2024-05-10,75,Leadership; Organisation; India,Culture should not be defined but discovered,"Against culture-as-declaration. Also the claim that mid-management, not the leadership team, holds an organisation together, plus a preservation mindset and a portfolio mindset toward risk.",None,Culture theme overlaps Kalpana Morparia P1 (M7) and Krish Subramanian (M7),,yes,cIyhQa3C6so,https://www.youtube.com/watch?v=cIyhQa3C6so,"Alok Mittal, Indifi | Rohin Dharmakumar | First Principles by The Ken"
47,30,M4,Strategy,A,Jaydeep Barman,Rebel Foods,1,S2E23,2024-04-29,89,Strategy; Business economics,The internet restaurant - decouple the brand from the real estate,"A genuine business-model innovation explained from the ground up: one kitchen, many brands, and why the business is 'misunderstood'. Also a long false start (2004 -> INSEAD -> McKinsey -> 2011 restart).",None,Multi-brand platform logic overlaps Ankit Nagori (M7); restaurant economics overlap Riyaaz Amlani (M5),,,CtiDJZIih5k,https://www.youtube.com/watch?v=CtiDJZIih5k,"Jaydeep Barman, Rebel Foods | Rohin Dharmakumar | First Principles by The Ken"
48,16,M2,Entrepreneurship,B,Chetan Maini,SUN Mobility,2,S2E22,2024-04-21,40,Entrepreneurship; Personal OS,Finding 'true north' again after a successful exit,Useful on post-exit identity and how to search deliberately rather than reactively. Contextual.,Watch Part 1 first,Overlaps Part 1's timing narrative,,,0YDx3eLTJHw,https://www.youtube.com/watch?v=0YDx3eLTJHw,"Chetan Maini, SUN Mobility | Part 2 | Rohin Dharmakumar | First Principles by The Ken"
49,78,APX,Appendix - supercuts & specials,D,"Five founders: Groww, Spinny, Edelweiss, WayCool, OYO",-,-,,2024-04-15,78,Specials,'What does your company do?' answered five ways,All five have full episodes on this playlist. Skip unless you specifically want the compare-and-contrast of positioning statements.,None,"Fully redundant with Lalit Keshre, Niraj Singh, Radhika Gupta, Karthik Jayaraman, Ritesh Agarwal",,,qudjsszPFKU,https://www.youtube.com/watch?v=qudjsszPFKU,"Five founders ft. Groww, Spinny, Edelweiss AMC, WayCool and OYO | First Principles by The Ken"
50,72,M10,Personal Operating System,B,Harsh Mariwala,Marico,2,S2E21,2024-04-06,41,Personal OS; Leadership,"Still experimenting with learning, fitness and leadership at 72",The long-horizon counterpart to Mukesh Bansal: a structured weekly regimen and continued deliberate learning five decades into a career. Short and concrete.,Harsh Mariwala Part 1 (M4) first,Longevity/habits overlap Mukesh Bansal P2 - Bansal is the richer treatment,,,7oI3QHxm1yg,https://www.youtube.com/watch?v=7oI3QHxm1yg,"Harsh Mariwala, Marico | Part 2 | Rohin Dharmakumar | First Principles by The Ken"
51,15,M2,Entrepreneurship,A,Chetan Maini,REVA / SUN Mobility,1,S2E20,2024-03-30,83,Entrepreneurship; Strategy; India,Being right too early is indistinguishable from being wrong,"Timing as a first-class strategic variable, and the discipline of a two-year synthesis break before choosing the second act. Also unbundling the asset: battery-as-a-service instead of selling cars.",None,Second-act psychology overlaps Mukesh Bansal (M2); infrastructure-as-a-service model overlaps Deepak Abbot (M9),,,ydWyUSB9jCc,https://www.youtube.com/watch?v=ydWyUSB9jCc,"Chetan Maini, Sun Mobility | Rohin Dharmakumar | First Principles by The Ken"
